City,Outlet Name,URL,Notes
"Boulder, CO",Mountain Gazette Magazine,http://www.mountaingazette.com/,
"Boulder, CO",OutBoulder,http://www.outboulder.org/blog,
"Boulder, CO",KVCU AM 1190,http://www.radio1190.org/,
"Boulder, CO",K24HQ-D TV 6,http://www.rmpbs.org/home/,
"Boulder, CO",Rooster Magazine,http://www.therooster.com/,
"Bozeman, MT",Bozeman Magazine,http://bozemanmagazine.com/,
"Bozeman, MT",KGVM-LP 95.9,http://gallatincommunityradio.org/,
"Bozeman, MT",KJZS-LP 106.3 FM,http://gbcmt.org/services/Radio,
"Bozeman, MT",KBOZ-FM 99.9,http://kboz.com/,
"Bozeman, MT",KOBB-AM 1230,http://kboz.com/,
"Bozeman, MT",KOBB-FM 93.7,http://kboz.com/,
"Bozeman, MT",KBOZ-AM 1090,http://kboz.com/,
"Bozeman, MT",KMMS-AM 1450,http://kmmsam.com/,
"Bozeman, MT",KMMS-FM 95.1,http://mooseradio.com/,
"Bozeman, MT",KZMY-FM 103.5,http://my1035.com/,
"Bozeman, MT",KWYB-TV 19,http://www.abcfoxmontana.com/,
"Bozeman, MT",Bozeman Magpie,http://www.bozeman-magpie.com/,
"Bozeman, MT",Bozeman Daily Chronicle,http://www.bozemandailychronicle.com/,
"Bozeman, MT",K268AS 101.5 FM,http://www.csnradio.com/,
"Bozeman, MT",KBZK-TV 7,http://www.kbzk.com/,
"Bozeman, MT",KGLT-FM 91.9,http://www.kglt.net/,
"Bozeman, MT",KLBZ-FM 89.3,http://www.klove.com/,
"Bozeman, MT","KOFK-LP 88.5, 98.3",http://www.kofkradio.org/,
"Bozeman, MT",KUSM-TV 9,http://www.montanapbs.org/,
"Bozeman, MT",KDBZ-TV 6,http://www.nbcmontana.com/,
"Bozeman, MT",KZBN-FM 90.3,http://www.radio74.net/,
"Bozeman, MT",Gallatin County News,http://www.thegallatincountynews.com/pages/index.php,
"Bozeman, MT",K262AZ 100.3 FM,http://www.ynop.org/,
"Bozeman, MT",KBMC-FM 102.1,http://ypradio.org/,
"Bozeman, MT",KJCQ-TV 40,tbn.org,
"Cedar Falls, IA",KHKE FM 89.5,http://iowapublicradio.org/,
"Cedar Falls, IA",KUNI FM 90.9,http://iowapublicradio.org/,
"Cedar Falls, IA",KOEL 98.5 FM,http://k985.com/,
"Cedar Falls, IA",Cedar Falls Patch,http://patch.com/iowa/cedarfalls,
"Cedar Falls, IA",Waterloo Cedar Falls Courier,http://wcfcourier.com/,
"Cedar Falls, IA",KCNZ AM 1650,http://www.1650thefan.com/,
"Cedar Falls, IA",KCFI AM 1250,http://www.kcfiradio.com/,
"Cedar Falls, IA",Northern Iowan,http://www.northerniowan.com/,
"Cedar Falls, IA",KULT-LP FM 94.5,https://www.uni.edu/kult/,
"Charleston, IL",W227CR 93.3 FM,http://covnetpres.org/,
"Charleston, IL",Journal Gazette & Times Courier,http://jg-tc.com/,
"Charleston, IL",WZGL FM 88.1,http://wbgl.org/,
"Charleston, IL",The Daily Eastern News,http://www.dailyeasternnews.com/,
"Charleston, IL",WWGO FM 92.1,http://www.myradiolink.com/,
"Charleston, IL",W213AW 90.5 FM,http://www.vcyamerica.org/,
"Charleston, IL",WEIU FM 88.9,http://www.weiu.net/,
"Charleston, IL",WEIU TV 51,http://www.weiu.net/,
"Cicero, IL",Town of Cicero News Wire,http://ciceronewswire.blogspot.com/,
"Cicero, IL",WLEY 107.9 FM,http://laley1079.lamusica.com/,
"Cicero, IL",WRLL AM 1450,http://wrll1450.com/,
"Cicero, IL",Lawndale News,http://www.lawndalenews.com/,
"Cicero, IL",WCEV AM 1450,http://www.wcev1450.com/,
"Coppell, TX",Coppell Student Media,http://coppellstudentmedia.com/,
"Coppell, TX",Coppell Gazette,http://starlocalmedia.com/coppellgazette/,
"Coppell, TX",Coppell Citizens Advocate,http://www.coppellcitizensadvocate.com/,
"Coppell, TX",Coppell on Bubble Life,https://coppell.bubblelife.com/,
"Corona, CA",Punjab Star News,http://punjabstarnews.com/,
"Corona, CA",InnerCircle Corona,http://www.innercirclecorona.com/,
"Corona, CA",KWRM-AM 1370,http://www.kwrm1370am.com/,
"Corona, CA",Life in Corona,http://www.lifeincorona.com/,
"Corona, CA",KGIC-LP 105.5 FM,http://www.radioimpacto.org/,
"Corona, CA",KVEA TV 52,http://www.telemundo52.com/,
"Corona, CA",The Sentinel Weekly,http://www.thesentinelweekly.com/,
"Cottage Grove, MN",K278BP KFXN 100.3,http://kfan.iheart.com/,
"Cottage Grove, MN",South Washington County Bulletin,http://www.swcbulletin.com/,
"Darien, IL",Darien Patch,http://patch.com/illinois/darien-il,
"Dover, DE",WDDE FM 91.1,delawarepublic.org/,
"Dover, DE",Delaware State News and Maryland State News,http://delawarestatenews.net/,
"Dover, DE",W277AH 103.3 FM,http://wceiradio.com/,
"Dover, DE",WDSD FM 94.7,http://wdsd.iheart.com/,
"Dover, DE",WRTX FM 91.7,http://wrti.org/,
"Dover, DE",WIHW-LP 96.1,http://www.cbcofdover.com/,
"Dover, DE",Delaware Politics,http://www.delawarepolitics.net/,
"Dover, DE",Dover Post,http://www.doverpost.com/,
"Dover, DE",W281BD 104.1 FM,http://www.espn930.com/,
"Dover, DE",W294BN 106.7 FM,http://www.myreachradio.com/,
"Dover, DE",WMDE TV 36,http://www.wmdetv.com/,
"Dover, DE",WEVD-LP,http://www.wmdt.com/,
"Dover, DE",Caesar Rodney Institute Blog,https://criblog.wordpress.com/,
"Dover, DE",WDOV AM 1410,wdov.iheart.com/,
"East St. Louis, IL",WCBW FM 89.1,http://wbgl.org/,
"East St. Louis, IL",WXOS 101.1 FM,http://www.101sports.com/,
"East St. Louis, IL",The East St. Louis Monitor,http://www.estlmonitor.com/,Reach out for permission? Or just do manually?
"East St. Louis, IL",WQQX AM 1490,http://www.wqqx1490am.com/,
"Elizabethtown, KY",WKUE FM 90.9,http://wkyufm.org/,
"Elizabethtown, KY",Fort Knox Gold Standard,http://www.fkgoldstandard.com/,
"Elizabethtown, KY",WKZT TV 23 (PBS),http://www.ket.org/,
"Elizabethtown, KY",WQXE FM 98.3,http://www.quicksie983.com/,
"Elizabethtown, KY",The News-Enterprise,http://www.thenewsenterprise.com/,
"Elizabethtown, KY",W222CD 92.3 FM,http://www.waky1035.com/,
"Elizabethtown, KY",W283AK 104.5 FM,http://www.wolf943.com/,
"Elmwood Park, IL",Elm Leaves,http://www.chicagotribune.com/suburbs/elmwood-park/,
"Faribault, MN",KDHL AM 920,http://kdhlradio.com/,
"Faribault, MN",KQCL FM 95.9,http://power96radio.com/,
"Faribault, MN",Faribault County Register,http://www.faribaultcountyregister.com/,
"Faribault, MN",KBGY FM 107.5,http://www.mybobcountry.com/,
"Faribault, MN",Faribault Daily News,http://www.southernminn.com/faribault_daily_news/,
"Flower Mound, TX",Flower Mound Leader,http://starlocalmedia.com/theleader/,
"Flower Mound, TX",The Cross Timbers Gazette,http://www.crosstimbersgazette.com/,
"Flower Mound, TX",WTCK 96.7 FM,http://www.theticket.com/,
"Garfield Heights, OH",The Neighborhood News: The Garfield Heights Tribune,http://www.theneighborhoodnews.com/,
